variable,coefficient,SE
(Intercept),0.46034552241750964,0.5964515854694423
HHSIZE,1.724397920646141,0.2426806279652096
HHVEHCNT,0.7998154335675932,0.3492902855635235
income_k,0.017035768455172236,0.005466477618833783
race_eth2.Non-Hispanic Black,0.9744132839400356,1.0776363223362606
race_eth3.Asian,-2.159001775817326,2.0329902270871916
race_eth4.Hispanic,-1.2545194218680034,1.1095549995962017
race_eth5.Other,0.9418612195419874,1.106677102668907
HBRESDN,2.523580513010095e-4,9.845979009329408e-5
